"latitude","longitude","potencia"
8.55755,-71.1937,-96
8.55755,-71.1937,-96.5
8.55755,-71.1937,-99
8.55755,-71.1937,-102
8.55755,-71.1937,-104.5
8.55755,-71.1937,-104
8.55755,-71.1937,-105.5
8.55755,-71.1937,-93
8.55755,-71.1937,-105
8.55755,-71.1937,-102.5
8.55755,-71.1937,-88.5
8.55755,-71.1937,-93.5
8.55755,-71.1937,-76.5
8.55755,-71.1937,-101.5
8.55755,-71.1937,-100.5
8.55755,-71.1937,-99
8.55755,-71.1937,-84
8.55755,-71.1937,-78
8.55756,-71.1937,-97.5
8.55756,-71.1937,-106.5
8.55756,-71.1937,-101.5
8.55756,-71.1937,-105.5
8.55756,-71.1937,-102.5
8.55756,-71.1937,-96.5
8.55756,-71.1937,-105.5
8.55756,-71.1937,-97.5
8.55756,-71.1937,-100.5
8.55756,-71.1937,-101.5
8.55756,-71.1937,-87
8.55756,-71.1937,-103
8.55756,-71.1937,-87.5
8.55756,-71.1937,-101.5
8.55756,-71.1937,-102
8.55756,-71.1937,-102
8.55756,-71.1937,-101.5
8.55756,-71.1937,-96
8.55756,-71.1937,-107.5
8.5576,-71.195,-78.5
8.5576,-71.195,-79.5
8.5576,-71.195,-74.5
8.5576,-71.195,-78
8.5576,-71.195,-78.5
8.5576,-71.195,-80.5
8.5576,-71.195,-80
8.5576,-71.195,-85
8.5576,-71.195,-82.5
8.5576,-71.195,-87.5
8.5576,-71.195,-84.5
8.5576,-71.195,-87
8.5576,-71.195,-92.5
8.5576,-71.195,-93
8.5576,-71.195,-85.5
8.5576,-71.195,-86
8.5576,-71.195,-85
8.5576,-71.195,-79.5
8.5576,-71.195,-87.5
8.55766,-71.1936,-72
8.55766,-71.1936,-91
8.55766,-71.1936,-95.5
8.55766,-71.1936,-97.5
8.55766,-71.1936,-96
8.55766,-71.1936,-98
8.55766,-71.1936,-99.5
8.55766,-71.1936,-103.5
8.55766,-71.1936,-101.5
8.55766,-71.1936,-93
8.55766,-71.1936,-94
8.55766,-71.1936,-93.5
8.55766,-71.1936,-95.5
8.55766,-71.1936,-93.5
